date,val,diff,change,key
2019-02-01,13821,-248,-1.7627407775961335,a20_24
2019-03-01,13925,-144,-1.0235269031203353,a20_24
2019-04-01,14114,45,0.31985215722510485,a20_24
2019-05-01,14288,219,1.5566138318288436,a20_24
2019-06-01,14699,630,4.477930201151468,a20_24
2019-07-01,14787,718,5.10341886416945,a20_24
2019-08-01,14337,268,1.9048972919184022,a20_24
2019-09-01,14203,134,0.9524486459592011,a20_24
2019-10-01,14337,268,1.9048972919184022,a20_24
2019-11-01,14037,-32,-0.2274504229156301,a20_24
2019-12-01,13947,-122,-0.8671547373658397,a20_24
2020-01-01,13795,-274,-1.9475442462150827,a20_24
2020-02-01,14069,0,0,a20_24
2020-03-01,13248,-821,-5.8355249129291344,a20_24
2020-04-01,9951,-4118,-29.27002629895515,a20_24
2020-05-01,10596,-3473,-24.685478712061983,a20_24
2020-06-01,11669,-2400,-17.058781718672257,a20_24
2020-07-01,12154,-1915,-13.611486246357241,a20_24
2020-08-01,12528,-1541,-10.953159428530812,a20_24
2020-09-01,12561,-1508,-10.71860117989907,a20_24
2020-10-01,13225,-844,-5.999004904399744,a20_24
2020-11-01,13169,-900,-6.397043144502097,a20_24
2020-12-01,13002,-1067,-7.584050039093042,a20_24
2021-01-01,12856,-1213,-8.621792593645603,a20_24
2021-02-01,13017,-1052,-7.47743265335134,a20_24
2019-02-01,35512,-526,-1.4595704534102891,a25_34
2019-03-01,35686,-352,-0.976746767301182,a25_34
2019-04-01,35602,-436,-1.2098340640435097,a25_34
2019-05-01,35703,-335,-0.9295743381985682,a25_34
2019-06-01,35699,-339,-0.9406737332815363,a25_34
2019-07-01,35369,-669,-1.8563738276263941,a25_34
2019-08-01,35806,-232,-0.6437649148121427,a25_34
2019-09-01,36073,35,0.0971197069759698,a25_34
2019-10-01,36230,192,0.5327709639824629,a25_34
2019-11-01,36351,313,0.8685276652422443,a25_34
2019-12-01,36263,225,0.6243409734169487,a25_34
