"","X.1","X","date","val","diff","change","key","race","sex"
"1",1,1,"2019-02-01",11804,-560,-4.52927855063086,"hispanic_women","hispanic","women"
"2",2,2,"2019-03-01",11862,-502,-4.0601747007441,"hispanic_women","hispanic","women"
"3",3,3,"2019-04-01",11847,-517,-4.18149466192171,"hispanic_women","hispanic","women"
"4",4,4,"2019-05-01",11876,-488,-3.94694273697832,"hispanic_women","hispanic","women"
"5",5,5,"2019-06-01",11886,-478,-3.86606276285992,"hispanic_women","hispanic","women"
"6",6,6,"2019-07-01",11937,-427,-3.45357489485603,"hispanic_women","hispanic","women"
"7",7,7,"2019-08-01",12019,-345,-2.79035910708509,"hispanic_women","hispanic","women"
"8",8,8,"2019-09-01",12225,-139,-1.12423164024588,"hispanic_women","hispanic","women"
"9",9,9,"2019-10-01",12449,85,0.68747978000647,"hispanic_women","hispanic","women"
"10",10,10,"2019-11-01",12307,-57,-0.461015852474927,"hispanic_women","hispanic","women"
"11",11,11,"2019-12-01",12281,-83,-0.671303785182789,"hispanic_women","hispanic","women"
"12",12,12,"2020-01-01",12152,-212,-1.71465545131026,"hispanic_women","hispanic","women"
"13",13,13,"2020-02-01",12364,0,0,"hispanic_women","hispanic","women"
"14",14,14,"2020-03-01",12038,-326,-2.63668715626011,"hispanic_women","hispanic","women"
"15",15,15,"2020-04-01",9423,-2941,-23.7868003882239,"hispanic_women","hispanic","women"
"16",16,16,"2020-05-01",9751,-2613,-21.1339372371401,"hispanic_women","hispanic","women"
"17",17,17,"2020-06-01",10656,-1708,-13.8142995794241,"hispanic_women","hispanic","women"
"18",18,18,"2020-07-01",10649,-1715,-13.870915561307,"hispanic_women","hispanic","women"
"19",19,19,"2020-08-01",11055,-1309,-10.5871886120996,"hispanic_women","hispanic","women"
"20",20,20,"2020-09-01",10846,-1518,-12.2775800711744,"hispanic_women","hispanic","women"
"21",21,21,"2020-10-01",11340,-1024,-8.28210934972501,"hispanic_women","hispanic","women"
"22",22,22,"2020-11-01",11465,-899,-7.27110967324491,"hispanic_women","hispanic","women"
"23",23,23,"2020-12-01",11397,-967,-7.82109349725008,"hispanic_women","hispanic","women"
"24",24,24,"2021-01-01",11179,-1185,-9.58427693303138,"hispanic_women","hispanic","women"
"25",25,25,"2021-02-01",11386,-978,-7.91006146878033,"hispanic_women","hispanic","women"
"26",26,26,"2019-02-01",15466,-481,-3.01624129930394,"hispanic_men","hispanic","men"
"27",27,27,"2019-03-01",15617,-330,-2.06935473756819,"hispanic_men","hispanic","men"
"28",28,28,"2019-04-01",15568,-379,-2.37662256223741,"hispanic_men","hispanic","men"
"29",29,29,"2019-05-01",15732,-215,-1.34821596538534,"hispanic_men","hispanic","men"
"30",30,30,"2019-06-01",15835,-112,-0.702326456386781,"hispanic_men","hispanic","men"
"31",31,31,"2019-07-01",15796,-151,-0.94688656173575,"hispanic_men","hispanic","men"
"32",32,32,"2019-08-01",15830,-117,-0.733680316046905,"hispanic_men","hispanic","men"
"33",33,33,"2019-09-01",15985,38,0.238289333416944,"hispanic_men","hispanic","men"
"34",34,34,"2019-10-01",15970,23,0.144227754436571,"hispanic_men","hispanic","men"
"35",35,35,"2019-11-01",16166,219,1.37329905311344,"hispanic_men","hispanic","men"
"36",36,36,"2019-12-01",15994,47,0.294726280805167,"hispanic_men","hispanic","men"
"37",37,37,"2020-01-01",15914,-33,-0.206935473756819,"hispanic_men","hispanic","men"
"38",38,38,"2020-02-01",15947,0,0,"hispanic_men","hispanic","men"
"39",39,39,"2020-03-01",15493,-454,-2.84693045713927,"hispanic_men","hispanic","men"
"40",40,40,"2020-04-01",13202,-2745,-17.2132689534082,"hispanic_men","hispanic","men"
"41",41,41,"2020-05-01",13570,-2377,-14.905624882423,"hispanic_men","hispanic","men"
